No.,WD (deg.),CB,x (m),y (m),z (m),Vs (m/s),,,,,,
67,0,1D,0.1,-0.15,0.02,1.36,1.23,,,,,
107,0,1D,0.1,0.15,0.02,1.24,1.38,,,,,
116,0,1D,0.1,0.2,0.02,1.44,2.78,,,,,
125,0,1D,0.1,0.25,0.02,1.53,2.22,,,,,
78,0,1D,0.15,-0.3,0.02,1.17,0.85,,,,,
77,0,1D,0.15,-0.25,0.02,1.69,2.38,,,,,
76,0,1D,0.15,-0.2,0.02,1.55,2.56,,,,,
75,0,1D,0.15,-0.15,0.02,1.42,1.24,,,,,
74,0,1D,0.15,-0.1,0.02,0.88,0.69,,,,,
73,0,1D,0.15,-0.05,0.02,0.85,0.79,,,,,
72,0,1D,0.15,0,0.02,0.93,0.81,,,,,
71,0,1D,0.15,0.05,0.02,0.66,0.77,,,,,
70,0,1D,0.15,0.1,0.02,1.09,0.68,,,,,
108,0,1D,0.15,0.15,0.02,1.42,1.41,,,,,
117,0,1D,0.15,0.2,0.02,1.59,2.7,,,,,
126,0,1D,0.15,0.25,0.02,1.52,2.06,,,,,
130,0,1D,0.15,0.3,0.02,1.18,0.79,,,,,
87,0,1D,0.2,-0.3,0.02,1.25,0.88,,,,,
86,0,1D,0.2,-0.25,0.02,1.62,2.2,,,,,
85,0,1D,0.2,-0.2,0.02,1.51,2.53,,,,,
84,0,1D,0.2,-0.15,0.02,1.56,1.21,,,,,
83,0,1D,0.2,-0.1,0.02,1.11,0.79,,,,,
82,0,1D,0.2,-0.05,0.02,1.31,1.01,,,,,
81,0,1D,0.2,0,0.02,1.12,1.09,,,,,
80,0,1D,0.2,0.05,0.02,0.99,0.96,,,,,
79,0,1D,0.2,0.1,0.02,1.19,0.75,,,,,
109,0,1D,0.2,0.15,0.02,1.56,1.42,,,,,
118,0,1D,0.2,0.2,0.02,1.65,2.64,,,,,
127,0,1D,0.2,0.25,0.02,1.69,1.86,,,,,
131,0,1D,0.2,0.3,0.02,1.28,0.86,,,,,
96,0,1D,0.25,-0.3,0.02,1.24,0.89,,,,,
95,0,1D,0.25,-0.25,0.02,1.62,2,,,,,
94,0,1D,0.25,-0.2,0.02,1.68,2.52,,,,,
